Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
40,82172,106875,687,105,2,20.65,48,0.36,0,2,2,0,0,1,1,0
51,118401,8687,841,115,2,10.34,60,0.14,2,1,1,0,1,1,1,0
64,136936,131239,790,61,1,20.37,60,0.19,1,1,1,1,0,1,1,0
42,52162,32335,602,9,4,22.89,12,0.17,2,2,0,0,1,2,1,0
67,53399,220831,320,25,1,23.97,48,0.56,0,0,0,1,1,0,0,0
66,123726,141526,305,107,3,20.57,60,0.29,0,1,0,0,1,0,1,0
24,81669,243317,382,79,1,19.6,36,0.28,3,2,1,1,1,2,0,0
30,71508,230192,751,35,2,22.31,48,0.81,3,0,0,0,1,3,0,0
63,42112,154478,594,49,3,19.13,24,0.35,1,3,0,0,1,4,1,0
39,84610,58305,424,56,1,15.92,48,0.27,2,3,0,1,1,2,1,1
66,22884,230714,417,104,3,24.53,24,0.67,2,0,1,1,1,4,1,0
18,32615,198582,526,28,2,18.69,60,0.25,0,2,1,0,1,3,0,1
43,62277,54706,591,115,1,9.66,36,0.23,1,1,1,0,0,3,0,0
30,72797,181256,710,34,1,10.91,60,0.44,0,1,2,1,1,4,0,0
45,19233,118933,672,62,3,17.38,48,0.73,0,1,2,1,0,2,0,1
63,24166,79944,603,105,4,17.9,36,0.87,1,0,1,0,0,0,0,0
68,56318,40474,310,80,3,13.27,36,0.62,3,1,2,0,0,0,0,0
53,140119,17039,771,59,4,10.28,12,0.3,3,2,2,0,1,0,0,0
41,86373,64588,648,118,2,14.1,24,0.24,2,1,0,1,1,4,0,1
31,28715,70095,761,31,2,16.12,24,0.65,0,0,0,1,1,1,0,0
27,126754,180651,814,105,4,13.3,12,0.47,3,1,2,1,1,2,0,0
54,77814,22945,383,24,3,18.41,48,0.72,1,3,0,0,1,0,1,0
58,62847,229972,491,89,1,19.53,36,0.2,0,3,0,0,0,3,0,0
29,116020,160275,414,42,2,11.21,24,0.34,0,0,1,1,0,1,0,1
50,74202,49504,392,101,4,7.53,12,0.52,0,1,1,0,1,2,1,0
37,48754,233863,498,93,4,22.69,60,0.65,3,3,0,0,1,3,1,0
20,88007,58933,741,82,1,16.64,24,0.17,1,2,0,0,1,4,1,0
40,108302,53092,414,72,1,15.74,36,0.28,0,0,1,1,0,2,0,0
33,83397,130183,316,63,4,9.75,36,0.7,3,1,2,1,0,0,0,0
56,82108,56130,525,105,4,19.15,24,0.51,0,2,1,1,0,4,1,0
55,145708,123378,460,18,2,18.74,12,0.89,3,0,0,0,0,2,1,0
44,138707,55227,309,104,3,22.08,60,0.75,3,1,1,1,1,0,1,0
39,65592,100762,782,32,2,2.62,48,0.61,1,0,1,1,0,0,0,0
21,86278,134648,508,3,2,15.33,48,0.49,1,3,1,0,1,1,1,0
69,95181,122091,804,118,4,15.34,24,0.22,1,0,1,1,0,2,0,0
30,109401,36456,335,86,2,17.93,36,0.69,0,0,1,1,0,2,0,0
36,89562,117593,323,73,4,19.51,48,0.51,1,1,2,0,0,2,1,0
35,38158,175755,541,4,3,21.9,60,0.29,1,1,1,0,0,0,0,0
28,51528,230604,559,66,3,12.43,12,0.17,1,1,1,0,1,0,1,1
69,24761,70203,379,90,2,23.85,12,0.69,2,1,0,0,1,3,1,0
58,119707,17093,778,95,4,21.44,36,0.73,1,1,0,1,1,2,1,0
35,70942,6032,706,102,2,7.41,36,0.87,3,2,0,0,1,4,1,0
51,81272,79924,465,50,3,20.37,60,0.8,2,1,1,0,1,3,1,0
61,139867,61665,726,17,1,9.38,36,0.75,1,3,1,0,0,3,0,0
19,96809,44706,618,34,4,21.93,48,0.85,2,1,2,1,1,1,0,0
43,16941,160041,352,107,2,5.03,60,0.71,0,1,0,0,0,4,0,0
40,57427,172179,794,31,4,13.69,60,0.38,0,3,0,0,0,3,0,0
26,68835,169516,831,69,1,15.59,36,0.12,0,1,1,0,0,1,0,0
27,81274,56077,558,60,2,2.89,48,0.61,3,1,2,1,1,0,0,0
18,49184,44732,482,119,3,7.88,36,0.84,1,1,2,1,0,4,1,0
28,114498,124535,505,109,2,23.02,48,0.76,1,1,0,0,1,3,0,1
65,137462,136136,407,27,4,14.71,60,0.56,3,1,2,0,1,3,0,0
45,79274,145431,387,16,1,4.3,24,0.88,1,1,0,1,1,4,0,0
35,137110,200097,673,4,4,20.14,24,0.81,3,3,1,0,0,3,0,0
63,24841,213994,414,87,1,5.02,24,0.85,0,2,2,1,1,2,1,0
19,126531,13206,332,99,2,10.09,48,0.12,2,0,1,0,1,0,0,0
66,41970,142525,407,18,4,21.58,48,0.73,2,1,2,1,1,4,1,0
69,16756,230819,716,42,2,4.95,12,0.81,0,3,1,0,0,3,1,0
48,56400,216412,807,16,1,7.08,24,0.62,3,0,2,1,1,2,1,0
27,97983,146537,459,25,2,23.13,48,0.79,2,3,0,0,0,1,0,1
51,113964,37121,341,72,2,9.21,48,0.48,2,1,0,1,0,4,0,0
32,87482,72907,365,34,2,19.13,12,0.14,1,2,1,0,1,3,0,0
36,111642,39175,717,0,1,5.84,48,0.17,3,2,0,0,0,0,0,0
67,87748,171630,453,35,4,15.91,12,0.72,0,0,2,0,0,0,0,0
31,98071,106146,504,93,3,11.85,60,0.59,3,3,0,1,0,2,0,0
66,127081,183984,655,10,3,19.39,12,0.78,2,1,2,0,0,4,0,0
58,28674,69958,662,59,4,12.22,12,0.85,2,3,0,0,0,3,0,0
19,123902,241428,431,60,1,10.73,48,0.67,1,3,1,1,0,3,0,0
38,76717,149375,403,81,3,22.72,12,0.45,0,3,1,0,1,4,1,0
44,125166,191186,779,41,1,11.11,12,0.73,2,2,1,1,0,4,1,0
